target_pref_name,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145412,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccc(Cl)cc4)c3=O)nc2c1,750.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145430,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc2ccccc2c1,750.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145410,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccc(Cl)c(Cl)c4)c3=O)nc2c1,720.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145443,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(-c2ccccc2)cc1,720.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145452,COc1ccc(Cc2c(C)[nH]n(-c3nc4cc(C)ccc4[nH]3)c2=O)cc1,680.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145419,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccccc4)c3=O)nc2c1,670.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145448,Cc1[nH]n(-c2nc3cc(C(C)(C)C)ccc3[nH]2)c(=O)c1Cc1ccccc1,640.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145442,COc1ccc(Cc2c(C)[nH]n(-c3nc4ccccc4[nH]3)c2=O)cc1,630.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145447,Cc1[nH]n(-c2nc3cc(C(F)(F)F)ccc3[nH]2)c(=O)c1Cc1ccccc1,610.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145441,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(F)cc1,600.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145451,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccc(C(F)(F)F)cc4)c3=O)nc2c1,570.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145440,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(C(F)(F)F)cc1,550.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145436,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1cccc(Cl)c1,540.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145446,Cc1[nH]n(-c2nc3cc(Br)ccc3[nH]2)c(=O)c1Cc1ccccc1,490.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145429,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccccc1,480.0,active
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4241063,COc1ccc(C2=C(c3ccc(OC)c(OC)c3)c3cc(-c4ccc(C)cc4)ccc3C2=O)cc1OC,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4242283,COc1cccc(C2=C(c3cccc(OC)c3)c3cc(-c4ccc(C)cc4)ccc3C2=O)c1,13100.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4238139,COc1ccc(C2=C(c3ccc(OC)cc3)c3cc(-c4ccccc4)ccc3C2=O)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4245395,O=C1C(c2ccccc2)=C(c2ccccc2)c2cc(-c3ccccc3)ccc21,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4248609,COc1ccc(C2=C(c3ccc(OC)c(OC)c3)c3cc(-c4ccccc4)ccc3C2=O)cc1OC,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4241768,COc1cccc(C2=C(c3cccc(OC)c3)c3cc(-c4ccccc4)ccc3C2=O)c1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4246014,Cc1ccc2c(c1)C(c1ccc(Cl)c(Cl)c1)=C(c1ccc(Cl)c(Cl)c1)C2=O,32300.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4247017,Cc1ccc(C2=C(c3ccc(C)cc3)c3cc(C)ccc3C2=O)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4243033,COc1ccc(C2=C(c3ccc(OC)c(OC)c3)c3cc(C)ccc3C2=O)cc1OC,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4249343,Cc1ccc2c(c1)C(c1ccccc1)=C(c1ccccc1)C2=O,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4239269,COc1ccc(C2=C(c3ccc(OC)cc3)c3cc(C)ccc3C2=O)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4246374,COc1cccc(C2=C(c3cccc(OC)c3)c3cc(C)ccc3C2=O)c1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4246251,COc1ccc(C2=C(c3cc(OC)cc(OC)c3)C(=O)c3ccc(-c4ccc(C)cc4)cc32)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4242575,COc1ccc(C2=C(c3cc(OC)cc(OC)c3)C(=O)c3ccc(-c4ccccc4)cc32)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4246825,COc1ccc(C2=C(c3cc(OC)cc(OC)c3)C(=O)c3ccc(C)cc32)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4249595,COc1ccc(C2=C(c3cc(OC)cc(OC)c3)c3cc(C)ccc3C2=O)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4239759,COc1ccc(C2=C(Cl)C(=O)c3ccc(-c4ccc(C)cc4)cc32)cc1,9800.0,intermediate
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4247778,COc1ccc(C2=C(Cl)C(=O)c3ccc(-c4ccccc4)cc32)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4243556,COc1ccc(C2=C(Cl)C(=O)c3ccc(C)cc32)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4237310,Cc1ccc2c(c1)C(c1cccc3ccccc13)=C(Br)C2=O,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4247330,Cc1ccc(C2=C(Br)C(=O)c3ccc(C)cc32)cc1,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4241045,Cc1ccc2c(c1)C(c1ccccc1)=C(Br)C2=O,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4247120,COc1ccc(C2=C(Br)C(=O)c3ccc(C)cc32)cc1OC,50000.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4244786,COc1ccc(C2=C(Br)C(=O)c3ccc(C)cc32)cc1,43170.0,inactive
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL4243364,COc1cc(OC)cc(C2=C(Br)C(=O)c3ccc(C)cc32)c1,50000.0,inactive
L-type amino acid transporter 3,CHEMBL3959689,CC(=O)O[C@H]1CC[C@@H](C)[C@]23OC(C)(C)[C@H]([C@@H](OC(C)=O)[C@@H](OC(=O)c4ccccc4)[C@]12C)[C@H]3OC(C)=O,15500.0,inactive
L-type amino acid transporter 3,CHEMBL3896908,CC(=O)OC[C@@]12[C@@H](OC(C)=O)CC[C@@H](C)[C@]13OC(C)(C)[C@H](C(=O)[C@H]2OC(=O)c1ccccc1)[C@H]3OC(C)=O,151200.0,inactive
L-type amino acid transporter 3,CHEMBL3950967,CC(=O)OC[C@@]12[C@@H](OC(C)=O)CC[C@@H](C)[C@]13OC(C)(C)[C@H]([C@@H](O)[C@H]2OC(=O)c1ccccc1)[C@H]3OC(C)=O,124500.0,inactive
Prostate specific antigen,CHEMBL2011751,O=C(OCc1ccccc1)c1cccc(OC(=O)N2C(=O)[C@@H](Cc3ccc(O)cc3)[C@H]2C(=O)OCc2ccccc2)c1,226.0,active
Prostate specific antigen,CHEMBL286934,O=C(OCc1ccccc1)c1cccc(CC(=O)N2C(=O)[C@@H](Cc3ccc(O)cc3)[C@H]2C(=O)OCc2ccccc2)c1,226.0,active
Prostate specific antigen,CHEMBL446790,O=C1CC(c2ccc(O)c(O)c2)Oc2c1c(O)cc(O)c2[C@@H]1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,13000.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784774,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O,4600.0,intermediate
Breast cancer type 1 susceptibility protein,CHEMBL1784771,CC(=O)N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O,250000.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784772,CC(=O)N[C@@H](CC(C(=O)O)C(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O,52800.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784773,CC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O)[C@@H](C)OP(=O)(O)O,250000.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784704,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O,15000.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784770,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,35000.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784703,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(C)C,3200.0,intermediate
Breast cancer type 1 susceptibility protein,CHEMBL1784775,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,30100.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784776,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](COP(=O)(O)O)NC(C)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,7100.0,intermediate
Breast cancer type 1 susceptibility protein,CHEMBL1784777,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,18400.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL2369531,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(N)=O)[C@@H](C)O,17700.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL2369532,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1cccc2ccccc12)C(N)=O)[C@@H](C)O,171700.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784779,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O,14900.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784780,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,98400.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784781,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,250000.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784782,CC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](COP(=O)(O)O)C(N)=O)[C@H](C)O,250000.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784783,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)COP(=O)(O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,10800.0,inactive
Breast cancer type 1 susceptibility protein,CHEMBL1784784,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,1000.0,active
Breast cancer type 1 susceptibility protein,CHEMBL1784785,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,1600.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL1270230,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,420.0,active
Serine/threonine-protein kinase TAO1,CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,10000.0,inactive
Serine/threonine-protein kinase TAO1,CHEMBL2333365,Cc1c(C(=O)N2CCOc3ccc(-c4ccc(N)nc4)cc3C2)ccc(S(C)(=O)=O)c1F,10000.0,inactive
Serine/threonine-protein kinase TAO1,CHEMBL3718164,O=C(CNC(=O)c1ccc(-n2ccnc2)cc1)NC1CCCc2ccccc21,500.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3718523,O=C(CNC(=O)c1ccc(-c2cnco2)cc1)NC1CCCc2ccccc21,50.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3716575,O=C(CNC(=O)NCCc1ccc(-c2ccccc2)cc1)NC1CCCc2ccccc21,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3717373,O=C(CNC(=O)Nc1ccc(-c2ccccc2)cc1)NC1CCCc2ccccc21,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3716192,CCc1ccc(-c2ccc(C(=O)NCC(=O)N[C@@H]3CCCc4ccccc43)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3718578,CCc1ccc(-c2ccc(C(=O)N(C)CC(=O)NC3CCCc4ccccc43)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3716033,CCOCCCNC(=O)c1ccc(C(=O)NCC2COc3ccccc3O2)cc1N,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3717022,COc1ccc2nc(NC(=O)CNC(=O)CC(NC(=O)c3ccccc3)c3ccccc3)sc2c1,50.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3718847,CCc1ccc(-c2ccc(C(=O)NCC(=O)Nc3nc4ccc(OC)cc4s3)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3716321,CCc1ccc(-c2ccc(C(=O)NCC(=O)NCC3COc4ccccc4O3)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3716641,CCc1ccc(-c2ccc(C(=O)NCC(=O)N3CCN(c4ccccc4)CC3)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3715150,CCc1ccc(-c2ccc(C(=O)NCC(=O)NCCc3ccccc3)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3715956,CCc1ccc(-c2ccc(C(=O)NCC(=O)NCc3ccccc3C)cc2)cc1,50.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3716753,CCc1ccc(-c2ccc(C(=O)NCC(=O)Nc3cccc4ccccc34)cc2)cc1,50.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3718409,CCc1ccc(-c2ccc(C(=O)NCC(=O)N[C@H]3CCCc4ccccc43)cc2)cc1,50.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3719151,CCc1ccc(-c2ccc(C(=O)NCC(=O)N3CCc4ccccc4C3)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3716888,O=C(CNCc1ccc(-c2ccccc2)cc1)NC1CCCc2ccccc21,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3715942,CCc1ccc(-c2ccc(C(=O)NCC(=O)NC(C)c3ccccc3)cc2)cc1,500.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3718940,O=C(CNC(=O)c1ccc(N2CCCCC2)cc1)NC1CCCc2ccccc21,500.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3716416,CCc1ccc(-c2ccc(C(=O)NCC(=O)NCc3ccccc3C(F)(F)F)cc2)cc1,50.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3717713,O=C(CNC(=O)c1ccc2ncccc2c1)NC1CCCc2ccccc21,500.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3717117,O=C(CC(NC(=O)c1ccccc1)c1ccccc1)NCC(=O)NC1CCCc2ccccc21,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3717552,O=C(CNC(=O)c1ccc2c(c1)CCCC2)NC1CCCc2ccccc21,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3716774,CCc1ccc(-c2ccc(C(=O)NCC(=O)NC(CC)c3ccccc3)cc2)cc1,500.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3719243,COc1ccc2nc(NC(=O)CNC(=O)CC(NC(C)=O)c3ccccc3)sc2c1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3715338,COc1ccc2nc(NC(=O)CNC(=O)CCNC(=O)c3ccccc3)sc2c1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3715570,O=C(CNC(=O)c1ccc2ncccc2c1)Nc1cccc2c1CCCC2,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3718595,O=C(CNC(=O)c1cnc2ccccc2c1)Nc1cccc2c1CCCC2,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3717227,O=C(CCN1CCCCC1)NCC(=O)NC1CCCc2ccccc21,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3718863,O=C(CNC(=O)c1ccc(N2CCCCC2)cc1)Nc1cccc2c1CCCC2,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3719051,COc1cc2cc(C(=O)NCC(=O)NC3CCCc4ccccc43)[nH]c2cc1OC,500.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3718499,O=C(CNC(=O)c1ccc(N2CCOCC2)cc1)NC1CCCc2ccccc21,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3718459,CCc1ccc(-c2ccc(C(=O)NCC(=O)N3Cc4ccccc4C3)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3716849,O=C(CNC(=O)c1ccc(O)cc1)NC1CCCc2ccccc21,50.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3718538,O=C(CNC(=O)C(NC(=O)C(c1ccccc1)C1CCCC1)c1cccnc1)NC1CCCc2ccccc21,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3716666,CCc1ccc(-c2ccc(C(=O)NCC(=O)NCc3ccc(Cl)c(Cl)c3)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3715969,CCc1ccc(-c2ccc(C(=O)NCC(=O)NC3CCCCC3)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3715470,CCc1ccc(-c2ccc(C(=O)NCC(=O)NCc3ccccc3)cc2)cc1,5000.0,intermediate
Serine/threonine-protein kinase TAO1,CHEMBL3717759,O=C(CNC(=O)c1ccc(OCc2ccccc2)cc1)NC1CCCc2ccccc21,50.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3719286,O=C(CNC(=O)c1ccc(C2CCCCC2)cc1)NC1CCCc2ccccc21,50.0,active
Serine/threonine-protein kinase TAO1,CHEMBL3717468,O=C(CNC(=O)c1ccc(Oc2ccccc2)cc1)NC1CCCc2ccccc21,50.0,active
